CommentText,Label
"Bu harika bir içerik ellerinize sağlık",0
"Senden nefret ediyorum iğrenç birisin",1
"Çok bilgilendirici bir yazı olmuş teşekkürler",0
"Aptalca konuşma kes sesini artık",1
"Bence bu konuda yanılıyorsun ama saygı duyarım",0
"Gerizekalı mısın nesin böyle saçma şey mi olur",1
"Harika bir maçtı Galatasaray hak ederek kazandı",0
"Seni öldüreceğim buralarda gezme bir daha",1
"Yemek tarifi için çok teşekkürler harika oldu",0
"Lanet olası herif her şeyi mahvettin",1
"Hocam anlatımınız çok akıcı devamını bekliyoruz",0
"Defol git buradan seni burada kimse istemiyor",1
"Bugün hava çok güzel dışarı çıkmak lazım",0
"Bu proje tam bir fiyasko tam bir rezillik",1
"Emeği geçen herkese çok teşekkür ederim",0
"Mükemmel bir anlatım olmuş hocam ağzınıza sağlık",0
"Bu kadar aptal olunmaz gerçekten şaka gibisin",1
"Desteğiniz için çok teşekkürler çok yardımcı oldunuz",0
"Senin gibi insanlar bu topluma sadece zarar",1
"Keyifle okudum emeğinize sağlık başarılar",0
"Rezil bir çalışma olmuş hiç beğenmedim iğrenç",1
"Paylaşım için teşekkürler çok faydalı bilgiler",0
"Beyinsiz herif ne dediğini bilmiyorsun daha",1
"Harika bir gün umarım herkes çok iyidir",0
"Kes sesini artık bıktık senin boş yapmandan",1
"Başarılarınızın devamını dilerim yolunuz açık olsun",0
"Tam bir hayal kırıklığısın başka bir şey değil",1
"Çok naziksiniz yardımlarınız için teşekkür ederim",0
"Bu ne saçma bir yorum böyle kafan basmıyor mu",1
"Harika bir fikir tebrikler hemen deneyeceğim",0
"Kendinden utanmalısın pislik herif seni",1
"Seni görmek istemiyorum defol git buradan",1
"Gerçekten çok yardımseversiniz minnettarım",0
"Allah belanı versin her şeyi bozdun",1
"Süper bir video olmuş ellerine sağlık",0
"Sen çok çirkinsin iğrenç yaratık",1
"Hocam bu ders çok faydalı oldu sağ olun",0
"Ahlakın yok mu senin ne biçim konuşuyorsun",1
"Çok kaliteli bir içerik olmuş tebrikler",0
"Geber git artık kurtulalım senin gibilerden",1
"Katılıyorum bence de öyle olması lazım",0
"Salak mısın oğlum sen ne anlatıyorsun",1
"Yardımlarınız için çok sağ olun hocam",0
"Tam bir rezalet başka söze gerek yok",1
"Güzel bir yaklaşım tarzı sevdim bunu",0
"Şerefsiz herif insanları kandırmayı bırak",1
"Emeğiniz için minnettarım çok sağ olun",0
"Gerçekten çok kötüsün kalbin kapkara",1
"Faydalı bir araç olmuş teşekkürler",0
"Seni bir daha burada görmeyeyim pislik",1
"Harika bir topluluk burası çok sevdim",0
"Senden nefret ediyorum tiksiniyorum",1
"Bugün çok şıksın harika görünüyorsun",0
"Beyni yok fikri var klasik cahil",1
"Çok samimi bir yazı olmuş teşekkürler",0
"Otur oturduğun yerde köpek gibi havlama",1
"Harika bir çözüm yolu sunmuşsunuz",0
